IIIIIIIIIIIIIIIIIIIII	(-71.67068955+0j)
IIIIIIIIIIIIIIIIIIIIZ	(6.49347842+0j)
IIIIIIIIIIIIIIIIIIIZZ	(6.49307931+0j)
IIIIIIIIIIIIIIIIIIIZI	(0.1114179+0j)
IIIZZIIZIIIZIIZIIZIXZ	(-0.05474975+0j)
IIIZZIIZIIIZIIZIIZIXI	(-0.00187554+0j)
IIIIIIIIIIIIIIIIIIZXI	(-0.05474975+0j)
IIIIIIIIIIIIIIIIIIZXZ	(-0.00187554+0j)
IIIIIIIIIIIYIYIIIIIXZ	(-0.0668563+0j)
IIIIIIIIIIIYIXZIIIIYI	(0.0668563+0j)
IIIIIIIIIIIXIIIIIIIXZ	(0.01462199+0j)
IIIIIIIIIIIXIIIIIIIXI	(-0.0051785+0j)
IIIIIIIIIIIYZZIIIIIYI	(0.01462199+0j)
IIIIIIIIIIIYZZIIIIIYZ	(-0.0051785+0j)
IIIIIIIIIIIIIIIIIIZII	(0.97698199+0j)
IIIIIIIIIIIIIIIIIIZIZ	(0.1596909+0j)
IIIZZIIZIIIZIIZIXXXZI	(0.11565116+0j)
IIIZZIIZIIIZIIZIXXXZZ	(0.02653206+0j)
IIIZZIIZIIIZIIZIXYYZI	(0.11565116+0j)
IIIZZIIZIIIZIIZIXYYZZ	(0.02653206+0j)
IIIIIIIIIIIYYZIIIIXZI	(-0.01769832+0j)
IIIIIIIIIIIYYZIIIIXZZ	(-0.00235979+0j)
IIIIIIIIIIIYXZIIIIYZI	(0.01769832+0j)
IIIIIIIIIIIYXZIIIIYZZ	(0.00235979+0j)
IIIZZIIZIIIZIIZIIZZZI	(-0.68104868+0j)
IIIZZIIZIIIZIIZIIZZZZ	(-0.11775326+0j)
IIIIIIIIIIIYIYIIIIZZI	(-0.15053644+0j)
IIIIIIIIIIIYIYIIIIZZZ	(-0.03187362+0j)
IIIZZIIZIIIXIXIIIZIII	(0.15053644+0j)
IIIZZIIZIIIXIXIIIZIIZ	(0.03187362+0j)
IIIIIIIIIIIXIIIIIIZZI	(-0.04775306+0j)
IIIIIIIIIIIXIIIIIIZZZ	(-0.01747168+0j)
IIIZZIIZIIIXZZZIIZIII	(-0.04775306+0j)
IIIZZIIZIIIXZZZIIZIIZ	(-0.01747168+0j)
IIIIIIIIIIIIIIIIIZIII	(0.6901063+0j)
IIIIIIIIIIIIIIIIIZIIZ	(0.13149026+0j)
IIIZZIIZIIIXYZZIXYIII	(0.16774896+0j)
IIIZZIIZIIIXYZZIXYIIZ	(0.04158322+0j)
IIIZZIIZIIIXXZZIXXIII	(0.16774896+0j)
IIIZZIIZIIIXXZZIXXIIZ	(0.04158322+0j)
IIIIIIIIIIIIIIIIZZIII	(0.67907508+0j)
IIIIIIIIIIIIIIIIZZIIZ	(0.15121495+0j)
IIIIIIIIIIIIIIIZIIIII	(0.67907508+0j)
IIIIIIIIIIIIIIIZIIIIZ	(0.15121495+0j)
IIIZZIIZIIIIIIZZZZIII	(0.51555259+0j)
IIIZZIIZIIIIIIZZZZIIZ	(0.15909353+0j)
IIIIIIIIIIIIIIZIIIIII	(0.51555259+0j)
IIIIIIIIIIIIIIZIIIIIZ	(0.15909353+0j)
IIIIIIIIIIIIIZZIIIIII	(0.3144803+0j)
IIIIIIIIIIIIIZZIIIIIZ	(0.12412821+0j)
IIIIIIIIIIIZIXZIIIIII	(0.11341507+0j)
IIIIIIIIIIIZIXZIIIIIZ	(0.02296951+0j)
IIIIIIIIIIIIZXIIIIIII	(-0.11341507+0j)
IIIIIIIIIIIIZXIIIIIIZ	(-0.02296951+0j)
IIIIIIIIIIIIZIIIIIIII	(0.22735338+0j)
IIIIIIIIIIIIZIIIIIIIZ	(0.12615496+0j)
IIIIIIIIIIIZZZIIIIIII	(0.16393495+0j)
IIIIIIIIIIIZZZIIIIIIZ	(0.19264265+0j)
IIIIIIIIIIZIIIIIIIIII	(6.49347842+0j)
IIIIIIIIIIZIIIIIIIIIZ	(0.49369795+0j)
IIIIIIIIYYXIIIIIIIIII	(0.0796991+0j)
IIIIIIIIYYXIIIIIIIIIZ	(0.04499323+0j)
IIIIIIIIXYYIIIIIIIIII	(-0.0796991+0j)
IIIIIIIIXYYIIIIIIIIIZ	(-0.04499323+0j)
YIIIXIXYIXXIIIIIIIIII	(0.00810969+0j)
YIIIXIXYIXXIIIIIIIIIZ	(0.00118742+0j)
YIIIXIXXIXYIIIIIIIIII	(-0.00810969+0j)
YIIIXIXXIXYIIIIIIIIIZ	(-0.00118742+0j)
YYZIZIIIIXXIIIIIIIIII	(0.04270484+0j)
YYZIZIIIIXXIIIIIIIIIZ	(0.02171607+0j)
YXZIZIIIIXYIIIIIIIIII	(-0.04270484+0j)
YXZIZIIIIXYIIIIIIIIIZ	(-0.02171607+0j)
IIIIIIIIIZZIIIIIIIIII	(6.49307931+0j)
